Transaction ID,Date,Item,Quantity,Price
1,2024-02-14,Chips,1,$2.38
2,2024-02-29,Apples,5,$5.39
3,2024-03-08,Apples,3,$8.36
4,2024-03-02,Toilet Paper,4,$3.46
5,2024-03-07,Soap,3,$6.97
6,2024-02-24,Diapers,3,$7.44
7,2024-02-21,Cereal,5,$1.27
8,2024-02-12,Milk,4,$6.74
9,2024-02-21,Milk,3,$6.01
10,2024-02-22,Milk,4,$1.26
11,2024-02-20,Diapers,5,$4.90
12,2024-02-15,Bread,2,$8.64
13,2024-02-18,Diapers,1,$6.78
14,2024-03-07,Toilet Paper,5,$9.05
15,2024-02-28,Pasta,5,$7.99
16,2024-02-12,Eggs,3,$4.02
17,2024-03-02,Pasta,3,$1.12
18,2024-02-26,Soap,3,$5.50
19,2024-03-10,Soap,4,$1.13
20,2024-02-25,Chips,5,$2.22
